Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t5,3-2,2,---,4(1-2) SSBC,O,SFG,Buster Posey,Kelvin Herrera,-1%,59%,Strikeout Looking
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.
Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2
,,,,,,,,,Madison Bumgarner replaces Jeremy Affeldt pitching,Madison Bumgarner replaces Jeremy Affeldt pitching,Madison Bumgarner replaces Jeremy Affeldt pitching
b5,2-3,0,---,3(1-1) .BCX,,KCR,Omar Infante,Madison Bumgarner,-6%,54%,Single to RF (Line Drive)
b5,2-3,0,1--,3(2-0) *B1BX,O,KCR,Alcides Escobar,Madison Bumgarner,3%,56%,Bunt Groundout: P-2B/Sacrifice; Infante to 2B
b5,2-3,1,-2-,4(2-1) BBCX,O,KCR,Norichika Aoki,Madison Bumgarner,5%,62%,Lineout: LF
b5,2-3,2,-2-,5(1-2) CSBFS,O,KCR,Lorenzo Cain,Madison Bumgarner,5%,67%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Giants 3 Royals 2.,0 runs 1 hit 0 errors 1 LOB. Giants 3 Royals 2.,0 runs 1 hit 0 errors 1 LOB. Giants 3 Royals 2.
Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6,Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6,Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6,Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6,Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6,Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6,Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6,Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6,Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6,Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6,Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6,Top of the 6th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 4-5-6
t6,3-2,0,---,4(1-2) CSBX,,SFG,Pablo Sandoval,Kelvin Herrera,4%,70%,Single to LF (Ground Ball)
t6,3-2,0,1--,1(0-0) X,OO,SFG,Hunter Pence,Kelvin Herrera,-8%,63%,Ground Ball Double Play: SS-2B-1B
t6,3-2,2,---,4(1-2) CFBX,,SFG,Brandon Belt,Kelvin Herrera,1%,64%,Single to RF (Line Drive)
t6,3-2,2,1--,3(0-2) SFC,O,SFG,Mike Morse,Kelvin Herrera,-3%,61%,Strikeout Looking
,,,,,,,,,0 runs 2 hits 0 errors 1 LOB. Giants 3 Royals 2.,0 runs 2 hits 0 errors 1 LOB. Giants 3 Royals 2.,0 runs 2 hits 0 errors 1 LOB. Giants 3 Royals 2.
Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 6th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6
b6,2-3,0,---,3(0-2) SSX,O,KCR,Eric Hosmer,Madison Bumgarner,4%,65%,Popfly: SS
b6,2-3,1,---,6(2-2) BCCBFX,O,KCR,Billy Butler,Madison Bumgarner,3%,68%,Flyball: CF
b6,2-3,2,---,3(0-2) SFX,O,KCR,Alex Gordon,Madison Bumgarner,2%,70%,Lineout: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.
Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1,Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1,Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1,Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1,Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1,Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1,Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1,Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1,Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1,Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1,Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1,Top of the 7th Giants Batting Ahead 3-2 Royals' Wade Davis facing 8-9-1
,,,,,,,,,Wade Davis replaces Kelvin Herrera pitching,Wade Davis replaces Kelvin Herrera pitching,Wade Davis replaces Kelvin Herrera pitching
t7,3-2,0,---,5(2-2) .CBFBS,O,SFG,Brandon Crawford,Wade Davis,-2%,68%,Strikeout Swinging
t7,3-2,1,---,4(1-2) BSFS,O,SFG,Juan Perez,Wade Davis,-2%,66%,Strikeout Swinging
t7,3-2,2,---,6(3-2) CBCBBX,O,SFG,Gregor Blanco,Wade Davis,-1%,65%,Groundout: SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.
Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9,Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9,Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9,Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9,Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9,Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9,Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9,Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9,Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9,Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9,Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9,Bottom of the 7th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 7-8-9
b7,2-3,0,---,3(0-2) CSX,O,KCR,Salvador Perez,Madison Bumgarner,5%,69%,Flyball: RF
b7,2-3,1,---,3(0-2) FCX,O,KCR,Mike Moustakas,Madison Bumgarner,3%,73%,Groundout: 3B-1B
b7,2-3,2,---,3(0-2) CFS,O,KCR,Omar Infante,Madison Bumgarner,2%,75%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.
Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Royals' Wade Davis facing 2-3-4
t8,3-2,0,---,4(1-2) FBFC,O,SFG,Joe Panik,Wade Davis,-2%,73%,Strikeout Looking
t8,3-2,1,---,2(0-1) CX,O,SFG,Buster Posey,Wade Davis,-2%,71%,Groundout: 2B-1B
t8,3-2,2,---,2(0-1) CX,,SFG,Pablo Sandoval,Wade Davis,2%,74%,Double to LF (Ground Ball)
t8,3-2,2,-2-,2(0-1) SX,O,SFG,Hunter Pence,Wade Davis,-4%,70%,Groundout: 2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Giants 3 Royals 2.,0 runs 1 hit 0 errors 1 LOB. Giants 3 Royals 2.,0 runs 1 hit 0 errors 1 LOB. Giants 3 Royals 2.
Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3
b8,2-3,0,---,5(2-2) BFFBS,O,KCR,Alcides Escobar,Madison Bumgarner,6%,77%,Strikeout Swinging
b8,2-3,1,---,4(1-2) BCFX,O,KCR,Norichika Aoki,Madison Bumgarner,4%,81%,Groundout: SS-1B
b8,2-3,2,---,7(2-2) BSCFFBX,O,KCR,Lorenzo Cain,Madison Bumgarner,3%,84%,Popfly: 2B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.
Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8
,,,,,,,,,Greg Holland replaces Wade Davis pitching,Greg Holland replaces Wade Davis pitching,Greg Holland replaces Wade Davis pitching
t9,3-2,0,---,3(1-1) .SBX,O,SFG,Brandon Belt,Greg Holland,-2%,83%,Groundout: 2B-1B
t9,3-2,1,---,4(1-2) SSBS,O,SFG,Mike Morse,Greg Holland,-1%,81%,Strikeout Swinging
t9,3-2,2,---,6(3-2) BBSFBS,O,SFG,Brandon Crawford,Greg Holland,-1%,81%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.
Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6
b9,2-3,0,---,5(2-2) BBCFS,O,KCR,Eric Hosmer,Madison Bumgarner,9%,89%,Strikeout Swinging
b9,2-3,1,---,3(1-1) BCX,O,KCR,Billy Butler,Madison Bumgarner,6%,96%,Foul Popfly: 1B (1B Foul)
b9,2-3,2,---,2(0-1) FX,,KCR,Alex Gordon,Madison Bumgarner,-11%,84%,Single to LF (Line Drive); Gordon to 3B/Adv on E8
b9,2-3,2,--3,6(2-2) SBSBFX,O,KCR,Salvador Perez,Madison Bumgarner,16%,100%,Foul Popfly: 3B (3B Foul)
,,,,,,,,,0 runs 1 hit 1 error 1 LOB. Giants 3 Royals 2.,0 runs 1 hit 1 error 1 LOB. Giants 3 Royals 2.,0 runs 1 hit 1 error 1 LOB. Giants 3 Royals 2.